1,928.8554262,0.00E+00,2.55E-09,0.00E+00,0.00E+00
2,1458.331733,529.4763065,1.777273096,9.41E+02,1.00E+00
3,1790.276963,861.4215366,1.44E-09,1.24E-06,1.32E-09
4,2172.578578,1243.723151,6.44E-02,8.01E+01,8.51E-02
5,2400.808119,1471.952693,1.55E-11,2.28E-08,2.42E-11
6,2743.262015,1814.406589,1.29E-02,2.34E+01,2.49E-02
7,2796.701978,1867.846552,1.18E-09,2.20E-06,2.34E-09
8,3053.229662,2124.374236,9.46E-10,2.01E-06,2.14E-09
9,3201.806178,2272.950751,4.66E-03,1.06E+01,1.13E-02
10,3386.148557,2457.29313,1.08E-10,2.65E-07,2.81E-10
11,3560.726471,2631.871045,2.73E-03,7.18E+00,7.63E-03
12,3669.577643,2740.722217,6.76E-13,1.85E-09,1.97E-12
13,3815.709372,2886.853946,4.86E-03,1.40E+01,1.49E-02
14,3877.107052,2948.251626,1.60E-11,4.71E-08,5.01E-11
15,3901.149642,2972.294216,4.03E-03,1.20E+01,1.27E-02
16,4025.427387,3096.571961,2.87E-11,8.88E-08,9.44E-11
17,4036.761639,3107.906212,1.10E-06,3.42E-03,3.63E-06
18,4147.853018,3218.997591,2.54E-11,8.19E-08,8.70E-11
19,4180.432533,3251.577107,4.81E-05,1.56E-01,1.66E-04
20,4298.672379,3369.816953,1.45E-11,4.88E-08,5.19E-11
21,4369.018363,3440.162937,1.14E-04,3.91E-01,4.16E-04
22,4474.753496,3545.89807,1.42E-12,5.05E-09,5.36E-12
23,4588.871597,3660.016171,1.76E-04,6.43E-01,6.84E-04
24,4638.645899,3709.790473,2.39E-12,8.88E-09,9.44E-12
25,4761.071499,3832.216073,2.96E-04,1.14E+00,1.21E-03
26,4806.719675,3877.864248,3.15E-12,1.22E-08,1.30E-11
27,4877.527475,3948.672049,3.81E-07,1.50E-03,1.60E-06
28,5016.611807,4087.756381,6.28E-14,2.57E-10,2.73E-13
29,5130.442759,4201.587333,2.67E-05,1.12E-01,1.19E-04
30,5230.94043,4302.085003,3.50E-12,1.50E-08,1.60E-11
